Date,Close,Change,Pct_Change,Volume,Org_Volume,Foreign_Volume,Foreign_Count,Foreign_Pct
2016-05-23,153000,2000,1.32,106473,10530,11810,37839620,40.92
2016-05-22,153000,2000,1.32,106473,10530,11810,37839620,40.92
2016-05-21,153000,2000,1.32,106473,10530,11810,37839620,40.92
2016-05-20,151000,1000,0.67,241719,24820,259,37827810,40.91
2016-05-19,150000,4000,-2.60,205947,-17344,5236,37827551,40.91
2016-05-18,154000,2500,-1.60,302070,-12401,2923,37831315,40.91
2016-05-17,156500,2000,1.29,245034,26844,5089,37828392,40.91
2016-05-16,154500,1000,0.65,183060,39288,-6766,37810603,40.89
2016-05-15,154500,1000,0.65,183060,39288,-6766,37810603,40.89
2016-05-14,154500,1000,0.65,183060,39288,-6766,37810603,40.89
2016-05-13,153500,500,-0.32,210153,-14342,30893,37817369,40.90
2016-05-12,154000,2000,-1.28,233220,-3643,-2541,37785714,40.86
2016-05-11,156000,4500,2.97,354317,-21635,95434,37786477,40.87
2016-05-10,151500,5000,3.41,334352,-71317,134512,37691043,40.76
2016-05-09,146500,6000,-3.93,533479,-22354,-45640,37549753,40.61
2016-05-08,146500,6000,-3.93,533479,-22354,-45640,37549753,40.61
2016-05-07,146500,6000,-3.93,533479,-22354,-45640,37549753,40.61
2016-05-06,146500,6000,-3.93,533479,-22354,-45640,37549753,40.61
2016-05-05,146500,6000,-3.93,533479,-22354,-45640,37549753,40.61
2016-05-04,152500,5500,-3.48,502609,-179621,100572,37595393,40.66
2016-05-03,158000,2000,1.28,266357,39575,-49407,37518821,40.58
2016-05-02,156000,1000,0.65,226076,38411,-37524,37568228,40.63
2016-05-01,156000,1000,0.65,226076,38411,-37524,37568228,40.63
2016-04-30,156000,1000,0.65,226076,38411,-37524,37568228,40.63
2016-04-29,155000,2000,-1.27,379764,-48756,-6065,37605752,40.67
2016-04-28,157000,500,-0.32,317644,39641,-30033,37590817,40.65
2016-04-27,157500,1000,-0.63,238707,-26228,8159,37620850,40.69
2016-04-26,158500,5000,-3.06,369087,-11046,-99362,37612691,40.68
2016-04-25,163500,4500,2.83,373171,46736,30254,37699053,40.77
2016-04-24,163500,4500,2.83,373171,46736,30254,37699053,40.77
2016-04-23,163500,4500,2.83,373171,46736,30254,37699053,40.77
2016-04-22,159000,3500,-2.15,373003,-97965,-23753,37667035,40.74
2016-04-21,162500,2500,1.56,343418,-50012,42474,37690788,40.76
2016-04-20,160000,3500,-2.14,324951,-55864,14203,37648314,40.72
2016-04-19,163500,2500,-1.51,274878,-39438,13432,37634111,40.70
2016-04-18,166000,0,0.00,458426,-186127,147374,37620679,40.69
2016-04-17,166000,0,0.00,458426,-186127,147374,37620679,40.69
2016-04-16,166000,0,0.00,458426,-186127,147374,37620679,40.69
2016-04-15,166000,12000,-6.74,597602,-154592,-2596,37473305,40.53
2016-04-14,178000,6500,3.79,380410,9919,159491,37475901,40.53
2016-04-13,178000,6500,3.79,380410,9919,159491,37475901,40.53
2016-04-12,171500,1500,0.88,144519,-58190,85674,37316410,40.36
2016-04-11,170000,1000,-0.58,138483,-34566,31070,37225736,40.26
2016-04-10,170000,1000,-0.58,138483,-34566,31070,37225736,40.26
2016-04-09,170000,1000,-0.58,138483,-34566,31070,37225736,40.26
2016-04-08,171000,500,0.29,163810,-11943,34278,37194666,40.23
2016-04-07,170500,1500,0.89,196337,-22597,44249,37160388,40.19
2016-04-06,169000,2500,1.50,226404,-7775,56665,37116139,40.14
2016-04-05,166500,3500,2.15,241154,-9572,40366,37057962,40.08
2016-04-04,163000,5500,-3.26,327402,-117902,16582,37017596,40.03
2016-04-03,163000,5500,-3.26,327402,-117902,16582,37017596,40.03
2016-04-02,163000,5500,-3.26,327402,-117902,16582,37017596,40.03
2016-04-01,168500,3500,-2.03,360005,-74286,-10010,37001014,40.02
2016-03-31,172000,2000,1.18,360218,-4044,-26165,37013024,40.03
2016-03-30,170000,4000,2.41,322679,1191,72167,37037677,40.06
2016-03-29,166000,4000,2.47,417528,118603,-49366,36965510,39.98
2016-03-28,162000,500,0.31,139541,39158,-21582,37014876,40.03
2016-03-27,162000,500,0.31,139541,39158,-21582,37014876,40.03
2016-03-26,162000,500,0.31,139541,39158,-21582,37014876,40.03
2016-03-25,161500,1000,0.62,170762,45326,-46558,37036458,40.05
2016-03-24,160500,0,0.00,198477,7458,3951,37083016,40.10
2016-03-23,160500,2500,-1.53,182620,-2207,-12138,37079064,40.10
2016-03-22,163000,0,0.00,182382,21996,-13601,37089438,40.11
2016-03-21,163000,3000,1.88,229590,-25583,67917,37103039,40.13
2016-03-20,163000,3000,1.88,229590,-25583,67917,37103039,40.13
2016-03-19,163000,3000,1.88,229590,-25583,67917,37103039,40.13
2016-03-18,160000,2000,-1.23,416513,41029,-91684,37035122,40.05
2016-03-17,162000,6500,4.18,482716,47324,78651,37128066,40.15
2016-03-16,155500,2500,-1.58,222567,-39273,22614,37049415,40.07
2016-03-15,158000,1000,0.64,165873,-35289,70046,37026801,40.04
2016-03-14,157000,2500,1.62,237048,14965,27361,36956755,39.97
2016-03-13,157000,2500,1.62,237048,14965,27361,36956755,39.97
2016-03-12,157000,2500,1.62,237048,14965,27361,36956755,39.97
2016-03-11,154500,1000,-0.64,288257,-8747,-9210,36929394,39.94
2016-03-10,155500,5000,3.32,422511,-31652,112454,36940116,39.95
2016-03-09,150500,3000,-1.95,278587,-18304,-18471,36827662,39.83
2016-03-08,153500,3000,-1.92,400586,60759,-81460,36846133,39.85
2016-03-07,156500,7000,4.68,397408,143377,21688,36927593,39.94
2016-03-06,156500,7000,4.68,397408,143377,21688,36927593,39.94
2016-03-05,156500,7000,4.68,397408,143377,21688,36927593,39.94
2016-03-04,149500,1000,-0.66,237190,9462,-26514,36905905,39.91
2016-03-03,150500,2000,1.35,421129,50433,4446,36932419,39.94
2016-03-02,148500,3500,2.41,420900,105834,-28910,36927973,39.94
2016-03-01,148500,3500,2.41,420900,105834,-28910,36927973,39.94
2016-02-29,145000,0,0.00,236458,2285,9897,36956883,39.97
2016-02-28,145000,0,0.00,236458,2285,9897,36956883,39.97
2016-02-27,145000,0,0.00,236458,2285,9897,36956883,39.97
2016-02-26,145000,500,-0.34,177482,-24458,26941,36926986,39.94
2016-02-25,145500,2000,-1.36,247054,-72715,57524,36903045,39.91
2016-02-24,147500,1000,-0.67,265249,-19135,40785,36859029,39.86
2016-02-23,148500,5500,3.85,498117,36025,148840,36818880,39.82
2016-02-22,143000,1500,-1.04,229076,-10585,4620,36684992,39.67
2016-02-21,143000,1500,-1.04,229076,-10585,4620,36684992,39.67
2016-02-20,143000,1500,-1.04,229076,-10585,4620,36684992,39.67
2016-02-19,144500,3500,2.48,340465,38417,121799,36680372,39.67
2016-02-18,141000,3000,2.17,412254,-7610,74268,36558573,39.54
2016-02-17,138000,1000,0.73,349904,28704,64906,36485817,39.46
2016-02-16,137000,7000,5.38,466802,11160,117653,36418241,39.39
2016-02-15,130000,500,0.39,500879,-82896,30116,36302422,39.26
2016-02-14,130000,500,0.39,500879,-82896,30116,36302422,39.26
2016-02-13,130000,500,0.39,500879,-82896,30116,36302422,39.26
2016-02-12,129500,2500,-1.89,592021,47873,-101000,36273818,39.23
2016-02-11,132000,10000,-7.04,672246,-149417,-100180,36374818,39.34
2016-02-10,132000,10000,-7.04,672246,-149417,-100180,36374818,39.34
2016-02-09,132000,10000,-7.04,672246,-149417,-100180,36374818,39.34
2016-02-08,132000,10000,-7.04,672246,-149417,-100180,36374818,39.34
2016-02-07,132000,10000,-7.04,672246,-149417,-100180,36374818,39.34
2016-02-06,132000,10000,-7.04,672246,-149417,-100180,36374818,39.34
2016-02-05,142000,3000,-2.07,446047,109105,-114468,36476258,39.45
2016-02-04,145000,13500,10.27,1094009,187203,257402,36593726,39.58
2016-02-03,131500,1500,-1.13,334272,-41082,-22998,36353324,39.32
2016-02-02,133000,1500,-1.12,305329,-7570,2471,36377582,39.34
2016-02-01,134500,3500,2.67,359884,17930,24790,36375111,39.34
2016-01-31,134500,3500,2.67,359884,17930,24790,36375111,39.34
2016-01-30,134500,3500,2.67,359884,17930,24790,36375111,39.34
2016-01-29,131000,500,0.38,407740,-11088,-5915,36351581,39.31
2016-01-28,130500,500,-0.38,494238,-115506,52349,36354976,39.32
2016-01-27,131000,7500,-5.42,568996,-60161,-48123,36302627,39.26
2016-01-26,138500,2000,1.47,344076,32623,43685,36353036,39.32
2016-01-25,136500,500,-0.36,300493,-3776,19014,36310359,39.27
2016-01-24,136500,500,-0.36,300493,-3776,19014,36310359,39.27
2016-01-23,136500,500,-0.36,300493,-3776,19014,36310359,39.27
